title,category,types,location,capacity
RTC-I (7),Utility scale firm power projects,solar,Rajasthan,400 MW
PP-I (7)(11),Utility scale firm power projects,solar,Karnataka,81 MW
Otha (7),Corporate/B2B solar energy projects,solar,Gujarat,16.68 MW
Bandarwada,Corporate/B2B solar energy projects,solar,Maharashtra,43 MW
Welturi,Corporate/B2B solar energy projects,solar,Maharashtra,20 MW
Babaria (7),Corporate/B2B solar energy projects,solar,Gujarat,6.67 MW
Ladha,Corporate/B2B solar energy projects,solar,Karnataka,20 MW
Nirna,Corporate/B2B solar energy projects,solar,Karnataka,20 MW
Wadgare,Corporate/B2B solar energy projects,solar,Karnataka,20 MW
Raichur,Corporate/B2B solar energy projects,solar,Karnataka,50 MW
Ittigi,Corporate/B2B solar energy projects,solar,Karnataka,50 MW
PSPCL,Utility scale solar energy projects,solar,Rajasthan,100 MW
SECI IX,Utility scale solar energy projects,solar,Rajasthan,300 MW
SECI RAJ IV,Utility scale solar energy projects,solar,Rajasthan,975 MW
GUVNL IX (Dholera) (11),Utility scale solar energy projects,solar,Gujarat,200 MW
SECI IX (10),Utility scale solar energy projects,solar,Rajasthan,400 MW
SECI VIII (11),Utility scale solar energy projects,solar,Rajasthan,200 MW
SECI � Rihand,Utility scale solar energy projects,solar,UP,100 MW
Acquisition - Telangana (9),Utility scale solar energy projects,solar,Telangana,260 MW
SECI VI,Utility scale solar energy projects,solar,Rajasthan,300 MW
Mah Ph II,Utility scale solar energy projects,solar,Rajasthan,300 MW
SECI IV,Utility scale solar energy projects,solar,Rajasthan,300 MW
SECI III,Utility scale solar energy projects,solar,Rajasthan,300 MW
GUVNL,Utility scale solar energy projects,solar,Gujarat,105 MW
SECI Raj,Utility scale solar energy projects,solar,Rajasthan,110 MW
Karnataka 140,Utility scale solar energy projects,solar,Karnataka,140 MW
Mah Ph I,Utility scale solar energy projects,solar,Rajasthan,250 MW
TN 100,Utility scale solar energy projects,solar,TamilNadu,100 MW
Bhadla,Utility scale solar energy projects,solar,Rajasthan,50 MW
Ostro - Rajasthan,Utility scale solar energy projects,solar,Rajasthan,60 MW
Mahbubnagar 2,Utility scale solar energy projects,solar,Telangana,100 MW
Turuvekere,Utility scale solar energy projects,solar,Karnataka,20 MW
Honnali,Utility scale solar energy projects,solar,Karnataka,20 MW
Yadgir,Utility scale solar energy projects,solar,Karnataka,20 MW
MPsolar II,Utility scale solar energy projects,solar,Madhya Pradesh,51 MW
Ostro - Wanaparthy,Utility scale solar energy projects,solar,Telangana,50 MW
Devdurga,Utility scale solar energy projects,solar,Karnataka,20 MW
Dichipally,Utility scale solar energy projects,solar,Telangana,143 MW
Minpur,Utility scale solar energy projects,solar,Telangana,65 MW
Chincoli,Utility scale solar energy projects,solar,Karnataka,20 MW
Mulkanoor,Utility scale solar energy projects,solar,Telangana,30 MW
Charanka,Utility scale solar energy projects,solar,Gujarat,40 MW
Humnabad,Utility scale solar energy projects,solar,Karnataka,20 MW
Siruguppa,Utility scale solar energy projects,solar,Karnataka,20 MW
Bhalki,Utility scale solar energy projects,solar,Karnataka,20 MW
Alland,Utility scale solar energy projects,solar,Karnataka,20 MW
Mandamarri,Utility scale solar energy projects,solar,Telangana,48 MW
Sadashivpet,Utility scale solar energy projects,solar,Telangana,24 MW
Mehbubnagar -1,Utility scale solar energy projects,solar,Telangana,100 MW
Cumbum,Utility scale solar energy projects,solar,Andhra Pradesh,21 MW
Adoni,Utility scale solar energy projects,solar,Andhra Pradesh,39 MW
VS-Sun Gold,Utility scale solar energy projects,solar,Rajasthan,5 MW
VS-Star solar,Utility scale solar energy projects,solar,Rajasthan,5 MW
Sheopur,Utility scale solar energy projects,solar,Madhya Pradesh,50 MW
VS- Symphony,Utility scale solar energy projects,solar,Rajasthan,10 MW
VS- Lexicon,Utility scale solar energy projects,solar,Rajasthan,10 MW
